#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   4746.3271   2.0560e+02   8.2240e+00   10.00   1.0000e+00
   4756.3296   2.0210e+02   8.0840e+00   10.00   1.0000e+00
   4766.3325   1.9610e+02   7.8440e+00   10.00   1.0000e+00
   4776.3350   2.0800e+02   8.3200e+00   10.00   1.0000e+00
   4786.3379   2.0140e+02   8.0560e+00   10.00   1.0000e+00
   4796.3403   2.0810e+02   8.3240e+00   10.00   1.0000e+00
   4806.3433   2.0400e+02   8.1600e+00   10.00   1.0000e+00
   4816.3457   2.0950e+02   8.3800e+00   10.00   1.0000e+00
   4826.3481   2.0280e+02   8.1120e+00   10.00   1.0000e+00
   4836.3511   2.0240e+02   8.0960e+00   10.00   1.0000e+00
   4846.3535   1.9740e+02   7.8960e+00   10.00   1.0000e+00
   4856.3564   1.8350e+02   7.3400e+00   10.00   1.0000e+00
   4866.3589   1.6290e+02   6.5160e+00   10.00   1.0000e+00
   4876.3618   1.8350e+02   7.3400e+00   10.00   1.0000e+00
   4886.3643   1.9190e+02   7.6760e+00   10.00   1.0000e+00
   4896.3667   1.9650e+02   7.8600e+00   10.00   1.0000e+00
   4906.3696   2.0120e+02   8.0480e+00   10.00   1.0000e+00
   4916.3721   1.9010e+02   7.6040e+00   10.00   1.0000e+00
   4926.3750   1.9010e+02   7.6040e+00   10.00   1.0000e+00
   4936.3774   1.8930e+02   7.5720e+00   10.00   1.0000e+00
   4946.3804   2.0630e+02   8.2520e+00   10.00   1.0000e+00
   4956.3828   1.9310e+02   7.7240e+00   10.00   1.0000e+00
   4966.3857   2.0220e+02   8.0880e+00   10.00   1.0000e+00
   4976.3882   2.0230e+02   8.0920e+00   10.00   1.0000e+00
   4986.3906   1.8710e+02   7.4840e+00   10.00   1.0000e+00
   4996.3936   1.9750e+02   7.9000e+00   10.00   1.0000e+00
   5006.3960   1.8620e+02   7.4480e+00   10.00   1.0000e+00
   5016.3989   1.8170e+02   7.2680e+00   10.00   1.0000e+00
   5026.4014   1.8990e+02   7.5960e+00   10.00   1.0000e+00
   5036.4043   1.9390e+02   7.7560e+00   10.00   1.0000e+00
   5046.4067   1.8740e+02   7.4960e+00   10.00   1.0000e+00
   5056.4097   1.9980e+02   7.9920e+00   10.00   1.0000e+00
   5066.4121   1.9660e+02   7.8640e+00   10.00   1.0000e+00
   5076.4146   1.9110e+02   7.6440e+00   10.00   1.0000e+00
   5086.4175   1.9240e+02   7.6960e+00   10.00   1.0000e+00
