#WL	ARC14
1471	99.3098
1472	99.3064
1473	99.303
1474	99.2995
1475	99.2959
1476	99.2923
1477	99.2887
1478	99.285
1479	99.2812
1480	99.2774
1481	99.2736
1482	99.2698
1483	99.2659
1484	99.2619
1485	99.2579
1486	99.2539
1487	99.2499
1488	99.2458
1489	99.2417
1490	99.2376
1491	99.2334
1492	99.2293
1493	99.2251
1494	99.2209
1495	99.2166
1496	99.2124
1497	99.2081
1498	99.2038
1499	99.1995
1500	99.1952
1501	99.1909
1502	99.1866
1503	99.1822
1504	99.1779
1505	99.1736
1506	99.1693
1507	99.1649
1508	99.1606
1509	99.1563
1510	99.152
1511	99.1477
1512	99.1434
1513	99.1391
1514	99.1349
1515	99.1306
1516	99.1264
1517	99.1222
1518	99.118
1519	99.1139
1520	99.1097
1521	99.1056
1522	99.1015
1523	99.0975
1524	99.0935
1525	99.0895
1526	99.0855
1527	99.0816
1528	99.0778
1529	99.0739
1530	99.0702
1531	99.0664
1532	99.0627
1533	99.0591
1534	99.0555
1535	99.0519
1536	99.0484
1537	99.045
1538	99.0416
1539	99.0383
1540	99.035
1541	99.0318
1542	99.0286
1543	99.0255
1544	99.0225
1545	99.0196
1546	99.0167
1547	99.0138
1548	99.0111
1549	99.0084
1550	99.0058
1551	99.0033
1552	99.0008
1553	98.9984
1554	98.9961
1555	98.9939
1556	98.9917
1557	98.9897
1558	98.9877
1559	98.9858
1560	98.9839
1561	98.9822
1562	98.9805
1563	98.979
1564	98.9775
1565	98.9761
1566	98.9748
1567	98.9736
1568	98.9725
1569	98.9715
1570	98.9705
1571	98.9697
1572	98.969
1573	98.9683
1574	98.9678
1575	98.9673
1576	98.967
1577	98.9667
1578	98.9666
1579	98.9665
1580	98.9665
1581	98.9667
1582	98.9669
1583	98.9672
1584	98.9677
1585	98.9682
1586	98.9688
1587	98.9696
1588	98.9704
1589	98.9713
1590	98.9724
1591	98.9735
1592	98.9747
1593	98.976
1594	98.9775
1595	98.979
1596	98.9806
1597	98.9824
1598	98.9842
1599	98.9861
1600	98.9882
1601	98.9903
1602	98.9925
1603	98.9948
1604	98.9973
1605	98.9998
1606	99.0024
1607	99.0051
1608	99.0079
1609	99.0108
1610	99.0138
1611	99.0169
1612	99.0201
1613	99.0233
1614	99.0267
1615	99.0302
1616	99.0337
1617	99.0373
1618	99.041
1619	99.0449
1620	99.0487
1621	99.0527
1622	99.0568
1623	99.0609
1624	99.0651
1625	99.0694
1626	99.0738
1627	99.0783
1628	99.0828
1629	99.0874
1630	99.0921
1631	99.0968
1632	99.1016
1633	99.1065
1634	99.1115
1635	99.1165
1636	99.1216
1637	99.1267
1638	99.1319
1639	99.1372
1640	99.1425
1641	99.1479
1642	99.1533
1643	99.1588
1644	99.1643
1645	99.1699
1646	99.1755
1647	99.1811
1648	99.1868
1649	99.1926
1650	99.1983
1651	99.2041
1652	99.21
1653	99.2158
1654	99.2217
1655	99.2277
1656	99.2336
1657	99.2396
1658	99.2455
1659	99.2515
1660	99.2575
1661	99.2636
1662	99.2696
1663	99.2756
1664	99.2816
1665	99.2877
1666	99.2937
1667	99.2997
1668	99.3057
1669	99.3117
1670	99.3177
1671	99.3237
1672	99.3296
1673	99.3355
1674	99.3414
1675	99.3473
1676	99.3531
1677	99.3589
1678	99.3647
1679	99.3704
1680	99.3761
1681	99.3817
1682	99.3873
1683	99.3928
1684	99.3983
1685	99.4037
1686	99.409
1687	99.4143
1688	99.4195
1689	99.4246
1690	99.4296
1691	99.4346
1692	99.4395
1693	99.4443
1694	99.449
1695	99.4536
1696	99.4581
1697	99.4625
1698	99.4668
1699	99.4709
1700	99.475
1701	99.479
1702	99.4828
1703	99.4865
1704	99.4901
1705	99.4935
1706	99.4969
1707	99.5
1708	99.5031
1709	99.506
1710	99.5087
1711	99.5113
1712	99.5137
1713	99.5159
1714	99.518
1715	99.52
1716	99.5217
1717	99.5233
1718	99.5247
1719	99.5259
1720	99.5269
1721	99.5277
1722	99.5283
1723	99.5287
1724	99.529
1725	99.529
1726	99.5288
1727	99.5283
1728	99.5277
1729	99.5268
1730	99.5257
1731	99.5244
1732	99.5228
1733	99.521
1734	99.5189
1735	99.5166
1736	99.514
1737	99.5112
1738	99.5081
1739	99.5048
1740	99.5012
1741	99.4973
1742	99.4931
1743	99.4886
1744	99.4839
1745	99.4789
